graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
Aarnet.graphml,19,Beacon Nodes,10.2799,120.2347,0.8512,0.0,7.0417
Aarnet.graphml,19,Global Controller,10.634,114.5862,0.8138,0.0,7.0417
Aarnet.graphml,19,PrioList,8.9879,162.3013,0.8675,0.0,7.0417
Aarnet.graphml,19,Simple Decomposition,9.4587,115.1325,0.8558,0.0,7.0417
Aarnet.graphml,19,Super Trees,10.6994,104.2514,0.6688,0.0,7.5833
Abilene.graphml,11,Beacon Nodes,5.8803,108.7789,0.9321,0.0,4.875
Abilene.graphml,11,Global Controller,6.0948,110.7616,0.9142,0.0417,4.875
Abilene.graphml,11,PrioList,5.6293,111.1474,0.9575,0.0,4.875
Abilene.graphml,11,Simple Decomposition,5.7545,113.279,0.9554,0.0,4.875
Abilene.graphml,11,Super Trees,6.1507,86.1094,0.7483,0.2083,5.8333
Abvt.graphml,22,Beacon Nodes,19.903,152.3714,0.8704,0.0,9.5833
Abvt.graphml,22,Global Controller,17.8422,145.4286,0.845,0.0833,9.5833
Abvt.graphml,22,PrioList,16.8594,146.7003,0.8975,0.0833,9.5833
Abvt.graphml,22,Simple Decomposition,16.5116,144.0125,0.8942,0.0417,9.5833
Abvt.graphml,22,Super Trees,17.0587,141.7788,0.8521,0.0833,9.25
Aconet.graphml,17,Beacon Nodes,11.0271,137.5826,0.9617,0.0,3.6667
Aconet.graphml,17,Global Controller,11.6479,133.2267,0.9538,0.0,3.6667
Aconet.graphml,17,PrioList,10.4048,131.0531,0.9671,0.0,3.6667
Aconet.graphml,17,Simple Decomposition,10.615,129.6561,0.9758,0.0,3.6667
Aconet.graphml,17,Super Trees,11.9397,117.9716,0.8533,0.0,5.2708
Agis.graphml,25,Beacon Nodes,14.8171,143.3969,0.8379,0.0,6.5833
Agis.graphml,25,Global Controller,18.221,142.1425,0.825,0.0,6.5833
Agis.graphml,25,PrioList,14.52,138.9888,0.8612,0.0,6.5833
Agis.graphml,25,Simple Decomposition,14.3466,139.1409,0.8542,0.0,6.5833
Agis.graphml,25,Super Trees,14.8584,129.9547,0.7617,0.2917,7.7708
Airtel.graphml,9,Beacon Nodes,7.1658,128.0184,0.9708,0.0,2.6538
Airtel.graphml,9,Global Controller,7.7798,128.8215,0.9617,0.0,2.6538
Airtel.graphml,9,PrioList,7.3243,124.0625,0.9696,0.0,2.6538
Airtel.graphml,9,Simple Decomposition,7.27,124.1798,0.9667,0.0,2.6538
Airtel.graphml,9,Super Trees,6.843,112.8591,0.9271,0.0833,3.4029
Amres.graphml,21,Beacon Nodes,3.1597,98.1658,0.6425,0.0,8.0
Amres.graphml,21,Global Controller,7.001,108.6239,0.6371,0.0,8.0
Amres.graphml,21,PrioList,2.724,92.6782,0.6462,0.0,8.0
Amres.graphml,21,Simple Decomposition,3.1597,92.4551,0.6338,0.0,8.0
Amres.graphml,21,Super Trees,3.8165,100.3897,0.6296,0.0,8.0
Ans.graphml,18,Beacon Nodes,15.9303,165.6589,0.9579,0.0,7.875
Ans.graphml,18,Global Controller,18.5079,156.7336,0.9292,0.0417,7.875
Ans.graphml,18,PrioList,16.1385,164.5171,0.9733,0.0,7.875
Ans.graphml,18,Simple Decomposition,15.3117,155.4901,0.9775,0.0,7.875
Ans.graphml,18,Super Trees,15.7009,152.0325,0.9246,0.0833,8.7708
Arn.graphml,28,Beacon Nodes,3.5735,117.9718,0.7246,0.0,3.6667
Arn.graphml,28,Global Controller,4.6828,112.7271,0.7442,0.0,3.6667
Arn.graphml,28,PrioList,3.1425,111.1854,0.735,0.0,3.6667
Arn.graphml,28,Simple Decomposition,3.1291,111.4937,0.7358,0.0,3.6667
Arn.graphml,28,Super Trees,4.6164,115.2492,0.7471,0.0,3.6667
Arnes.graphml,34,Beacon Nodes,38.6527,218.0153,0.9225,0.0417,10.5
Arnes.graphml,34,Global Controller,44.4097,226.327,0.8904,0.2083,10.5
Arnes.graphml,34,PrioList,39.1358,211.6189,0.9375,0.1667,10.5
Arnes.graphml,34,Simple Decomposition,39.4129,218.7329,0.9379,0.125,10.5
Arnes.graphml,34,Super Trees,44.8166,202.4238,0.8517,0.3333,11.2708
Arpanet196912.graphml,4,Beacon Nodes,1.4248,80.6261,0.9183,0.0,1.8958
Arpanet196912.graphml,4,Global Controller,1.4147,86.9816,0.9383,0.0,1.8958
Arpanet196912.graphml,4,PrioList,1.3157,84.0975,0.9262,0.0,1.8958
Arpanet196912.graphml,4,Simple Decomposition,1.212,80.8574,0.9242,0.0,1.8958
Arpanet196912.graphml,4,Super Trees,1.5905,71.7199,0.8642,0.0833,2.0
Arpanet19706.graphml,9,Beacon Nodes,2.7332,89.9358,0.8454,0.0,2.5833
Arpanet19706.graphml,9,Global Controller,3.2484,84.1383,0.8412,0.0,2.5833
Arpanet19706.graphml,9,PrioList,2.8485,87.2156,0.8604,0.0,2.5833
Arpanet19706.graphml,9,Simple Decomposition,2.7759,87.7872,0.8471,0.0,2.5833
Arpanet19706.graphml,9,Super Trees,3.0862,63.787,0.6229,0.3125,3.2708
Arpanet19719.graphml,17,Beacon Nodes,10.7436,131.742,0.9071,0.0,7.6042
Arpanet19719.graphml,17,Global Controller,11.2072,116.4159,0.855,0.0,7.6042
Arpanet19719.graphml,17,PrioList,10.3666,126.7404,0.9358,0.0,7.6042
Arpanet19719.graphml,17,Simple Decomposition,10.6496,121.3017,0.925,0.0,7.6042
Arpanet19719.graphml,17,Super Trees,13.1923,112.6606,0.8108,0.0833,9.3333
