graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,avg_depth,median_stretch
Aarnet.graphml,19,Beacon Nodes,9.6533,121.9296,0.8312,6.625,0.0
Aarnet.graphml,19,Global Controller,11.5203,122.1243,0.8175,6.625,0.0
Aarnet.graphml,19,PrioList,10.5907,139.0992,0.8312,6.625,0.0
Aarnet.graphml,19,Simple Decomposition,9.5853,118.2716,0.8453,6.625,0.0
Aarnet.graphml,19,Super Trees,10.1103,93.7914,0.6306,6.5156,0.0
Abilene.graphml,11,Beacon Nodes,6.3723,113.0326,0.9409,4.3594,1.0
Abilene.graphml,11,Global Controller,6.6992,110.2665,0.9141,4.3594,1.0
Abilene.graphml,11,PrioList,6.041,106.2136,0.9638,4.3594,0.0
Abilene.graphml,11,Simple Decomposition,7.4269,108.4821,0.9669,4.3594,0.0
Abilene.graphml,11,Super Trees,7.7638,82.3856,0.6678,4.6719,2.0
Abvt.graphml,22,Beacon Nodes,17.8862,144.3612,0.835,9.8906,0.0
Abvt.graphml,22,Global Controller,17.6393,142.4005,0.8097,9.8906,1.0
Abvt.graphml,22,PrioList,15.9411,139.1602,0.8838,9.8906,1.0
Abvt.graphml,22,Simple Decomposition,16.5801,141.0858,0.8875,9.8906,1.0
Abvt.graphml,22,Super Trees,16.217,116.6558,0.7141,9.2031,1.0
Aconet.graphml,17,Beacon Nodes,11.2575,138.0063,0.9644,3.5469,0.0
Aconet.graphml,17,Global Controller,11.7387,137.694,0.9522,3.5469,0.0
Aconet.graphml,17,PrioList,11.0097,138.3326,0.97,3.5469,0.0
Aconet.graphml,17,Simple Decomposition,10.36,129.0881,0.9712,3.5469,0.0
Aconet.graphml,17,Super Trees,12.6382,121.0262,0.8566,5.875,1.0
Agis.graphml,25,Beacon Nodes,15.8872,145.7841,0.8534,6.6562,0.0
Agis.graphml,25,Global Controller,17.641,153.8895,0.8497,6.6562,0.0
Agis.graphml,25,PrioList,16.1518,140.0015,0.8759,6.6562,0.0
Agis.graphml,25,Simple Decomposition,15.4841,140.7322,0.8853,6.6562,0.0
Agis.graphml,25,Super Trees,16.7041,111.7033,0.6419,6.7812,1.0
Airtel.graphml,9,Beacon Nodes,8.0882,126.0186,0.9806,2.6838,0.0
Airtel.graphml,9,Global Controller,8.207,117.8548,0.9834,2.6838,0.0
Airtel.graphml,9,PrioList,7.6338,124.0125,0.9847,2.6838,0.0
Airtel.graphml,9,Simple Decomposition,7.7098,117.2226,0.98,2.6838,0.0
Airtel.graphml,9,Super Trees,7.486,104.7148,0.9378,3.2713,1.0
Amres.graphml,21,Beacon Nodes,3.1202,92.0253,0.6272,8.0312,0.0
Amres.graphml,21,Global Controller,3.8952,93.484,0.6594,8.0312,0.0
Amres.graphml,21,PrioList,2.7425,87.1262,0.6403,8.0312,0.0
Amres.graphml,21,Simple Decomposition,2.838,90.2894,0.6434,8.0312,0.0
Amres.graphml,21,Super Trees,4.0522,87.3287,0.6456,8.0312,0.0
Ans.graphml,18,Beacon Nodes,17.5024,143.7189,0.9375,7.5,0.0
Ans.graphml,18,Global Controller,16.5408,144.785,0.9206,7.5,1.0
Ans.graphml,18,PrioList,16.1059,143.8968,0.9566,7.5,0.0
Ans.graphml,18,Simple Decomposition,15.6181,140.7578,0.9519,7.5,0.0
Ans.graphml,18,Super Trees,14.818,131.8093,0.8891,8.75,2.0
Arn.graphml,28,Beacon Nodes,3.9829,110.1136,0.7459,3.625,0.0
Arn.graphml,28,Global Controller,4.8518,117.05,0.7406,3.625,0.0
Arn.graphml,28,PrioList,3.4067,109.3279,0.7531,3.625,0.0
Arn.graphml,28,Simple Decomposition,3.3502,116.307,0.7466,3.625,0.0
Arn.graphml,28,Super Trees,4.9549,113.0291,0.7462,3.625,0.0
Arnes.graphml,34,Beacon Nodes,43.9826,217.3918,0.9044,9.8594,1.0
Arnes.graphml,34,Global Controller,42.4244,210.4133,0.8581,9.8594,3.0
Arnes.graphml,34,PrioList,42.3502,207.856,0.9125,9.8594,1.0
Arnes.graphml,34,Simple Decomposition,40.8985,207.3979,0.9156,9.8594,1.0
Arnes.graphml,34,Super Trees,41.2706,190.7031,0.7941,10.2031,3.0
Arpanet196912.graphml,4,Beacon Nodes,1.5881,77.1059,0.9275,1.8281,1.0
Arpanet196912.graphml,4,Global Controller,1.5354,77.1544,0.9259,1.8281,1.0
Arpanet196912.graphml,4,PrioList,1.3269,73.1709,0.9156,1.8281,0.0
Arpanet196912.graphml,4,Simple Decomposition,1.2901,73.3525,0.9209,1.8281,0.0
Arpanet196912.graphml,4,Super Trees,1.485,73.4003,0.8719,1.9531,1.0
Arpanet19706.graphml,9,Beacon Nodes,2.6957,84.2559,0.8328,2.875,0.0
Arpanet19706.graphml,9,Global Controller,2.9778,82.4629,0.8278,2.875,0.0
Arpanet19706.graphml,9,PrioList,2.6104,84.5668,0.8409,2.875,1.0
Arpanet19706.graphml,9,Simple Decomposition,2.4453,81.0984,0.8353,2.875,0.0
Arpanet19706.graphml,9,Super Trees,3.017,63.3457,0.6334,3.4531,1.0
Arpanet19719.graphml,17,Beacon Nodes,11.1101,130.4064,0.8872,7.8438,1.0
Arpanet19719.graphml,17,Global Controller,11.7798,126.3318,0.8538,7.8438,1.5
Arpanet19719.graphml,17,PrioList,12.0629,125.5729,0.9306,7.8438,0.0
Arpanet19719.graphml,17,Simple Decomposition,10.6257,131.1287,0.9269,7.8438,0.0
Arpanet19719.graphml,17,Super Trees,11.2821,109.5,0.7934,8.625,0.0
Arpanet19723.graphml,23,Beacon Nodes,17.0935,142.5163,0.8178,11.1562,0.0
Arpanet19723.graphml,23,Global Controller,17.4217,136.6883,0.7528,11.1562,0.0
Arpanet19723.graphml,23,PrioList,17.6893,144.1939,0.8769,11.1562,0.0
Arpanet19723.graphml,23,Simple Decomposition,15.6464,142.7959,0.8656,11.1562,0.0
Arpanet19723.graphml,23,Super Trees,16.413,130.6496,0.8084,11.9531,0.0
Arpanet19728.graphml,27,Beacon Nodes,21.9723,155.1731,0.8431,12.4688,0.0
Arpanet19728.graphml,27,Global Controller,24.6433,155.4342,0.7278,12.4688,0.0
