run,graph,num_nodes,algorithm,runtime,total_run_runtime,median_stretch,success_rate,avg_depth,errors
0,Aarnet.graphml,19,PrioList,11.4928,374.6989,0.0,0.88,5.0,1
0,Aarnet.graphml,19,Super Trees,13.5417,29.5016,0.0,0.07,1.0,0
0,Aarnet.graphml,19,Beacon Nodes,11.6655,138.72,0.0,0.95,5.0,1
0,Aarnet.graphml,19,Global Controller,13.6786,123.7964,0.0,0.9,5.0,1
0,Aarnet.graphml,19,Simple Decomposition,10.4861,134.4591,0.0,0.92,5.0,1
0,Abilene.graphml,11,PrioList,4.9659,109.3124,0.0,0.94,5.0,1
0,Abilene.graphml,11,Super Trees,4.7598,91.6663,0.0,0.94,10.0,1
0,Abilene.graphml,11,Beacon Nodes,8.9682,139.9724,0.0,0.93,5.0,1
0,Abilene.graphml,11,Global Controller,4.665,106.5845,0.0,0.89,5.0,1
0,Abilene.graphml,11,Simple Decomposition,4.3705,110.0202,0.0,0.97,5.0,1
0,Abvt.graphml,22,PrioList,14.5504,136.6772,0.0,0.9,12.0,1
0,Abvt.graphml,22,Super Trees,13.1322,145.6955,0.0,0.88,12.0,1
0,Abvt.graphml,22,Beacon Nodes,13.599,139.0883,0.0,0.9,12.0,1
0,Abvt.graphml,22,Global Controller,16.5094,144.7038,0.0,0.83,12.0,1
0,Abvt.graphml,22,Simple Decomposition,15.1349,140.4091,0.0,0.94,12.0,1
0,Aconet.graphml,17,PrioList,10.0886,170.2338,0.0,0.98,3.5,0
0,Aconet.graphml,17,Super Trees,8.8373,127.7009,0.0,0.97,7.0,1
0,Aconet.graphml,17,Beacon Nodes,9.2139,132.7066,0.0,0.96,3.5,0
0,Aconet.graphml,17,Global Controller,9.0723,132.4732,0.0,0.94,3.5,0
0,Aconet.graphml,17,Simple Decomposition,9.6521,136.3527,0.0,0.96,3.5,0
0,Agis.graphml,25,PrioList,19.2667,168.5834,0.0,0.98,6.0,1
0,Agis.graphml,25,Super Trees,22.2455,97.5641,1.0,0.5,5.0,0
0,Agis.graphml,25,Beacon Nodes,20.3856,151.6361,0.0,0.94,6.0,1
0,Agis.graphml,25,Global Controller,22.2566,169.2452,0.0,0.9,6.0,1
0,Agis.graphml,25,Simple Decomposition,20.4822,192.5015,0.0,0.96,6.0,1
0,Airtel.graphml,9,PrioList,6.1388,127.0021,0.0,1.0,2.5,1
0,Airtel.graphml,9,Super Trees,6.5938,96.9788,0.0,0.88,2.5,0
0,Airtel.graphml,9,Beacon Nodes,7.6198,128.1569,0.0,0.99,2.5,1
0,Airtel.graphml,9,Global Controller,7.3809,125.2559,0.0,0.99,2.5,1
0,Airtel.graphml,9,Simple Decomposition,8.1498,125.9256,0.0,1.0,2.5,1
0,Amres.graphml,21,PrioList,3.0039,81.5337,0.0,0.54,9.0,0
0,Amres.graphml,21,Super Trees,4.3315,87.3379,0.0,0.55,9.0,0
0,Amres.graphml,21,Beacon Nodes,3.5593,81.4089,0.0,0.52,9.0,0
0,Amres.graphml,21,Global Controller,4.5154,98.3899,0.0,0.58,9.0,0
0,Amres.graphml,21,Simple Decomposition,2.4788,82.9102,0.0,0.59,9.0,0
0,Ans.graphml,18,PrioList,19.5566,196.4369,0.0,1.0,5.0,1
0,Ans.graphml,18,Super Trees,16.091,134.2219,0.0,0.9,11.0,1
0,Ans.graphml,18,Beacon Nodes,17.4096,156.8483,0.0,0.98,5.0,1
0,Ans.graphml,18,Global Controller,17.6501,151.8007,0.0,0.96,5.0,1
0,Ans.graphml,18,Simple Decomposition,17.857,168.3925,0.0,0.97,5.0,1
0,Arn.graphml,28,PrioList,2.2371,99.951,0.0,0.74,3.0,0
0,Arn.graphml,28,Super Trees,3.0942,106.4701,0.0,0.74,3.0,0
0,Arn.graphml,28,Beacon Nodes,2.5448,105.3009,0.0,0.74,3.0,0
0,Arn.graphml,28,Global Controller,3.4388,129.9822,0.0,0.74,3.0,0
0,Arn.graphml,28,Simple Decomposition,2.7927,132.641,0.0,0.83,3.0,0
0,Arnes.graphml,34,PrioList,66.2582,250.8408,0.0,0.97,17.0,2
0,Arnes.graphml,34,Super Trees,51.603,210.3291,0.0,0.78,14.0,1
0,Arnes.graphml,34,Beacon Nodes,52.0828,248.3146,0.0,0.96,17.0,2
0,Arnes.graphml,34,Global Controller,55.1101,234.587,0.0,0.96,17.0,2
0,Arnes.graphml,34,Simple Decomposition,102.7758,269.8904,0.0,0.96,17.0,2
0,Arpanet196912.graphml,4,PrioList,0.9939,123.1793,0.0,0.97,2.0,0
0,Arpanet196912.graphml,4,Super Trees,1.3569,73.0717,0.0,0.95,2.0,0
0,Arpanet196912.graphml,4,Beacon Nodes,1.1534,77.2798,0.0,0.96,2.0,0
0,Arpanet196912.graphml,4,Global Controller,1.1617,78.6209,0.0,0.98,2.0,0
0,Arpanet196912.graphml,4,Simple Decomposition,1.3304,80.0859,0.0,0.94,2.0,0
0,Arpanet19706.graphml,9,PrioList,1.9046,82.1878,0.0,0.84,2.5,0
0,Arpanet19706.graphml,9,Super Trees,2.3638,83.699,1.0,0.7,4.5,0
0,Arpanet19706.graphml,9,Beacon Nodes,2.852,96.1489,0.0,0.81,2.5,0
0,Arpanet19706.graphml,9,Global Controller,2.1009,100.2373,0.0,0.83,2.5,0
0,Arpanet19706.graphml,9,Simple Decomposition,1.9365,83.4791,0.0,0.79,2.5,0
0,Arpanet19719.graphml,17,PrioList,11.7625,125.7001,0.0,0.92,4.5,1
0,Arpanet19719.graphml,17,Super Trees,11.1937,149.0111,0.0,0.98,6.5,1
0,Arpanet19719.graphml,17,Beacon Nodes,11.536,191.8279,0.0,0.91,4.5,1
0,Arpanet19719.graphml,17,Global Controller,9.9457,149.2464,0.0,0.89,4.5,1
0,Arpanet19719.graphml,17,Simple Decomposition,9.4084,156.1305,0.0,0.93,4.5,1
0,Arpanet19723.graphml,23,PrioList,16.5383,156.9637,0.0,0.84,9.0,1
0,Arpanet19723.graphml,23,Super Trees,16.1101,158.0176,0.0,0.91,9.0,1
0,Arpanet19723.graphml,23,Beacon Nodes,15.6173,161.1067,0.0,0.9,9.0,1
0,Arpanet19723.graphml,23,Global Controller,17.3379,146.9508,0.0,0.79,9.0,1
0,Arpanet19723.graphml,23,Simple Decomposition,16.4566,157.875,0.0,0.98,9.0,1
0,Arpanet19728.graphml,27,PrioList,19.4308,176.905,0.0,0.88,13.0,1
0,Arpanet19728.graphml,27,Super Trees,18.4423,207.8,0.0,0.83,13.0,1
0,Arpanet19728.graphml,27,Beacon Nodes,17.9677,152.4983,0.0,0.75,13.0,1
0,Arpanet19728.graphml,27,Global Controller,19.5267,150.9689,0.0,0.74,13.0,1
0,Arpanet19728.graphml,27,Simple Decomposition,17.2256,152.2469,0.0,0.86,13.0,1
0,Atmnet.graphml,21,PrioList,10.0679,132.3307,0.0,0.83,11.0,1
0,Atmnet.graphml,21,Super Trees,13.0367,132.791,0.0,0.82,18.0,1
0,Atmnet.graphml,21,Beacon Nodes,11.7557,142.3164,0.0,0.74,11.0,1
0,Atmnet.graphml,21,Global Controller,14.5489,143.2104,0.0,0.7,11.0,1
0,Atmnet.graphml,21,Simple Decomposition,11.5698,187.224,0.0,0.81,11.0,1
0,AttMpls.graphml,25,PrioList,51.0507,275.7095,0.0,0.98,12.0,2
0,AttMpls.graphml,25,Super Trees,45.6598,203.3526,1.0,0.96,8.0,1
0,AttMpls.graphml,25,Beacon Nodes,55.6699,288.1133,0.0,1.0,12.0,2
0,AttMpls.graphml,25,Global Controller,55.5027,286.3166,0.0,1.0,12.0,2
0,AttMpls.graphml,25,Simple Decomposition,49.2526,319.7797,0.0,1.0,12.0,2
0,Bbnplanet.graphml,27,PrioList,2.1439,120.6391,0.0,0.7,5.0,0
0,Bbnplanet.graphml,27,Super Trees,3.9763,130.8553,0.0,0.68,6.0,0
0,Bbnplanet.graphml,27,Beacon Nodes,2.5879,128.3087,0.0,0.62,5.0,0
0,Bbnplanet.graphml,27,Global Controller,4.9126,136.8575,0.0,0.72,5.0,0
0,Bbnplanet.graphml,27,Simple Decomposition,2.1195,108.6045,0.0,0.65,5.0,0
0,Bellcanada.graphml,48,PrioList,59.5162,299.4615,1.0,0.89,15.0,1
0,Bellcanada.graphml,48,Super Trees,59.3222,297.6404,1.0,0.87,16.0,1
0,Bellcanada.graphml,48,Beacon Nodes,59.186,352.2228,1.0,0.92,15.0,1
0,Bellcanada.graphml,48,Global Controller,61.5668,306.3724,0.0,0.89,15.0,1
0,Bellcanada.graphml,48,Simple Decomposition,62.2714,302.9885,1.0,0.91,15.0,1
0,Bellsouth.graphml,49,PrioList,4.7438,173.1774,0.0,0.63,6.0,0
0,Bellsouth.graphml,49,Super Trees,8.7012,154.1804,1.0,0.59,7.0,0
0,Bellsouth.graphml,49,Beacon Nodes,4.9264,206.3334,0.0,0.68,6.0,0
0,Bellsouth.graphml,49,Global Controller,9.0004,165.3847,0.0,0.67,6.0,0
0,Bellsouth.graphml,49,Simple Decomposition,4.1432,160.7613,0.0,0.65,6.0,0
0,Belnet2003.graphml,17,PrioList,11.5457,170.7866,0.0,1.0,2.0,0
0,Belnet2003.graphml,17,Super Trees,12.8645,171.1384,0.0,0.99,3.0,1
0,Belnet2003.graphml,17,Beacon Nodes,10.8474,167.7576,0.0,0.99,2.0,0
0,Belnet2003.graphml,17,Global Controller,12.0364,178.5836,0.0,0.98,2.0,0
0,Belnet2003.graphml,17,Simple Decomposition,12.4668,163.1615,0.0,0.96,2.0,0
0,Belnet2004.graphml,17,PrioList,12.0479,210.0451,0.0,0.97,2.0,0
0,Belnet2004.graphml,17,Super Trees,10.8799,148.551,0.0,0.98,4.0,1
0,Belnet2004.graphml,17,Beacon Nodes,11.2104,160.8414,0.0,0.99,2.0,0
0,Belnet2004.graphml,17,Global Controller,13.48,172.284,0.0,0.96,2.0,0
0,Belnet2004.graphml,17,Simple Decomposition,10.2384,162.873,0.0,0.96,2.0,0
