graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
Aarnet.graphml,19,Beacon Nodes,4.3883,19.6628,0.1141,0.0,1.3587
Aarnet.graphml,19,Global Controller,4.5806,20.8261,0.117,0.0,1.3587
Aarnet.graphml,19,PrioList,3.7555,94.9572,0.1143,0.0,1.3587
Aarnet.graphml,19,Simple Decomposition,4.2646,23.4966,0.1213,0.0,1.3587
Aarnet.graphml,19,Super Trees,4.0118,43.9683,0.3184,0.0,3.6226
Abilene.graphml,11,Beacon Nodes,1.2639,14.301,0.0503,0.0,1.0759
Abilene.graphml,11,Global Controller,0.9752,15.5999,0.0566,0.2041,1.0759
Abilene.graphml,11,PrioList,1.2235,20.9749,0.0271,0.0,1.0759
Abilene.graphml,11,Simple Decomposition,1.015,15.2207,0.0275,0.0,1.0759
Abilene.graphml,11,Super Trees,1.4982,37.8307,0.3567,0.509,2.9697
Abvt.graphml,22,Beacon Nodes,12.5979,22.0484,0.0707,0.0,2.2968
Abvt.graphml,22,Global Controller,4.1989,14.1275,0.0826,0.2823,2.2968
Abvt.graphml,22,PrioList,4.4816,17.3165,0.0827,0.2823,2.2968
Abvt.graphml,22,Simple Decomposition,4.5101,22.2514,0.0631,0.2041,2.2968
Abvt.graphml,22,Super Trees,4.3405,28.8175,0.186,0.2823,2.5538
Aconet.graphml,17,Beacon Nodes,1.894,17.4888,0.0334,0.0,0.6019
Aconet.graphml,17,Global Controller,1.8958,18.9525,0.0303,0.0,0.6019
Aconet.graphml,17,PrioList,2.0753,16.6541,0.0214,0.0,0.6019
Aconet.graphml,17,Simple Decomposition,1.6302,9.1766,0.0153,0.0,0.6019
Aconet.graphml,17,Super Trees,2.0895,38.3151,0.3145,0.0,2.0693
Agis.graphml,25,Beacon Nodes,9.0849,33.332,0.1254,0.0,1.4646
Agis.graphml,25,Global Controller,17.1717,35.2824,0.1145,0.0,1.4646
Agis.graphml,25,PrioList,9.0962,36.3509,0.1263,0.0,1.4646
Agis.graphml,25,Simple Decomposition,9.0646,29.4589,0.1421,0.0,1.4646
Agis.graphml,25,Super Trees,8.4235,38.4397,0.2468,0.8065,2.5537
Airtel.graphml,9,Beacon Nodes,2.257,18.3312,0.0502,0.0,0.322
Airtel.graphml,9,Global Controller,2.3346,25.3574,0.0579,0.0,0.322
Airtel.graphml,9,PrioList,2.5839,22.3479,0.0597,0.0,0.322
Airtel.graphml,9,Simple Decomposition,2.4975,23.5491,0.064,0.0,0.322
Airtel.graphml,9,Super Trees,2.0147,20.4969,0.0892,0.2823,0.8148
Amres.graphml,21,Beacon Nodes,1.1117,17.6801,0.086,0.0,1.3513
Amres.graphml,21,Global Controller,15.4259,38.8125,0.0895,0.0,1.3513
Amres.graphml,21,PrioList,1.1813,13.3807,0.0747,0.0,1.3513
Amres.graphml,21,Simple Decomposition,1.5905,13.8992,0.0668,0.0,1.3513
Amres.graphml,21,Super Trees,1.1018,24.2996,0.0807,0.0,1.3513
Ans.graphml,18,Beacon Nodes,4.5417,43.3818,0.0298,0.0,2.0068
Ans.graphml,18,Global Controller,9.3009,17.4215,0.0272,0.2041,2.0068
Ans.graphml,18,PrioList,4.2158,48.6768,0.0222,0.0,2.0068
Ans.graphml,18,Simple Decomposition,4.6299,32.1785,0.0162,0.0,2.0068
Ans.graphml,18,Super Trees,4.2398,43.726,0.1827,0.2823,2.9488
Arn.graphml,28,Beacon Nodes,2.6698,17.5818,0.0576,0.0,0.4815
Arn.graphml,28,Global Controller,2.6296,11.1177,0.0461,0.0,0.4815
Arn.graphml,28,PrioList,2.5385,16.0988,0.0466,0.0,0.4815
Arn.graphml,28,Simple Decomposition,2.6461,16.6518,0.0383,0.0,0.4815
Arn.graphml,28,Super Trees,2.6512,17.2216,0.0498,0.0,0.4815
Arnes.graphml,34,Beacon Nodes,9.7555,23.8357,0.0601,0.2041,2.6293
Arnes.graphml,34,Global Controller,15.9355,26.019,0.0794,0.4149,2.6293
Arnes.graphml,34,PrioList,10.2769,28.8684,0.0353,0.3807,2.6293
Arnes.graphml,34,Simple Decomposition,9.4956,17.4257,0.0313,0.3378,2.6293
Arnes.graphml,34,Super Trees,28.2637,35.0131,0.209,0.702,3.6025
Arpanet196912.graphml,4,Beacon Nodes,0.4854,12.5832,0.0438,0.0,0.2074
Arpanet196912.graphml,4,Global Controller,0.3951,32.7813,0.0423,0.0,0.2074
Arpanet196912.graphml,4,PrioList,0.5164,23.2606,0.0527,0.0,0.2074
Arpanet196912.graphml,4,Simple Decomposition,0.4289,24.3909,0.0384,0.0,0.2074
Arpanet196912.graphml,4,Super Trees,0.5715,16.6568,0.1433,0.2823,0.3612
