#n= 5, connectivity= 4, repetitions= 100
#graph, before/after, intensity, 'objective', success rate, switches, load, load, max stretch, mean stretch, max hops, mean hops
regular, before, 5, 120000.00, 1.00, 2.00, 2.00, 2.00, 0.00, 0.00, 2.00, 1.50
regular, after, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 4, 120000.00, 1.00, 2.00, 2.00, 2.00, 0.00, 0.00, 2.00, 1.50
regular, after, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 3, 120000.00, 1.00, 2.00, 2.00, 2.00, 0.00, 0.00, 2.00, 1.50
regular, after, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 2.00, 1.50
regular, after, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 2.00
regular, after, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 1.50
regular, before, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 1.50
regular, after, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 1.50
regular, before, 5, 120000.00, 1.00, 2.00, 2.00, 2.00, 0.00, 0.00, 2.00, 2.00
regular, after, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 2.00, 2.00
regular, after, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.50, 2.00, 2.00
regular, after, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 2, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 2.00
regular, after, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 2.00
regular, after, 1, 120000.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.50, 2.00, 1.50
regular, before, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 5, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 4, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, after, 3, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
regular, before, 2, 120000.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00
