#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003117, 0.039161
5, 0.003226, 0.038871
5, 0.003085, 0.039070
5, 0.003156, 0.038079
5, 0.002568, 0.039920
5, 0.005138, 0.042418
5, 0.003050, 0.041602
5, 0.003297, 0.049241
5, 0.003106, 0.043187
5, 0.003149, 0.041322
5, 0.003060, 0.040727
5, 0.003021, 0.045392
5, 0.004624, 0.044744
5, 0.004106, 0.046276
5, 0.003115, 0.042691
5, 0.004810, 0.039567
5, 0.003081, 0.042643
5, 0.003200, 0.038585
5, 0.002057, 0.039783
5, 0.003121, 0.039676
5, 0.003012, 0.039104
5, 0.003377, 0.039475
5, 0.003075, 0.039652
5, 0.002204, 0.041518
5, 0.002103, 0.042022
5, 0.002226, 0.038495
5, 0.002054, 0.040920
5, 0.003071, 0.040875
5, 0.002081, 0.044265
5, 0.003204, 0.042944
5, 0.004162, 0.040380
5, 0.003831, 0.040938
5, 0.003087, 0.041458
5, 0.002268, 0.038916
5, 0.001999, 0.038249
5, 0.003133, 0.040172
5, 0.003327, 0.038669
5, 0.002499, 0.039158
5, 0.004758, 0.041348
5, 0.002061, 0.040265
5, 0.003143, 0.039900
5, 0.003556, 0.039481
5, 0.003097, 0.040049
5, 0.002259, 0.041756
5, 0.002998, 0.040638
5, 0.003251, 0.039948
5, 0.002068, 0.039503
5, 0.003091, 0.038279
5, 0.003905, 0.038061
5, 0.003359, 0.038177
5, 0.003034, 0.038677
5, 0.004112, 0.040159
5, 0.003088, 0.038264
5, 0.002564, 0.036936
5, 0.002602, 0.038639
5, 0.002542, 0.039986
5, 0.003036, 0.039380
5, 0.003255, 0.038819
5, 0.003145, 0.038444
5, 0.002421, 0.039727
5, 0.004130, 0.038759
5, 0.003168, 0.038519
5, 0.003158, 0.040195
5, 0.003234, 0.043109
5, 0.004643, 0.039188
5, 0.003002, 0.070444
5, 0.003502, 0.046434
5, 0.003072, 0.046110
5, 0.003306, 0.044163
5, 0.002112, 0.041485
5, 0.003165, 0.040002
5, 0.002048, 0.038959
5, 0.004460, 0.042081
5, 0.003616, 0.040207
5, 0.003017, 0.041230
5, 0.002086, 0.041158
5, 0.003315, 0.041402
5, 0.003100, 0.039923
5, 0.002086, 0.043504
5, 0.003049, 0.042107
5, 0.003113, 0.041652
5, 0.004068, 0.038990
5, 0.002079, 0.041724
5, 0.002050, 0.040483
5, 0.004149, 0.042093
5, 0.003767, 0.039225
5, 0.002052, 0.038986
5, 0.002535, 0.041110
5, 0.003090, 0.041136
5, 0.002067, 0.043423
5, 0.003181, 0.040842
5, 0.002575, 0.039872
5, 0.003132, 0.040003
5, 0.002446, 0.040537
5, 0.003386, 0.043681
5, 0.002081, 0.041481
5, 0.004879, 0.039940
5, 0.003146, 0.040265
5, 0.003580, 0.041114
5, 0.004012, 0.040185
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002738, 0.040051
5, 0.003304, 0.039266
5, 0.002026, 0.041448
5, 0.003015, 0.041984
5, 0.003573, 0.038497
5, 0.004110, 0.040259
5, 0.003545, 0.042947
5, 0.003145, 0.043373
5, 0.004109, 0.045742
5, 0.003595, 0.045279
5, 0.003138, 0.043470
5, 0.002040, 0.042079
5, 0.003106, 0.040627
5, 0.003027, 0.040043
5, 0.002168, 0.039872
5, 0.003120, 0.037908
5, 0.003285, 0.039839
5, 0.003113, 0.042281
5, 0.002069, 0.040744
5, 0.003111, 0.040946
5, 0.002067, 0.040994
5, 0.003047, 0.041161
5, 0.003120, 0.039912
5, 0.005084, 0.039839
5, 0.002726, 0.038388
5, 0.002000, 0.041465
5, 0.002058, 0.039860
5, 0.003046, 0.040640
5, 0.003156, 0.039969
5, 0.002303, 0.039578
5, 0.003069, 0.040375
5, 0.002068, 0.041547
5, 0.003065, 0.040879
5, 0.003136, 0.041445
5, 0.002008, 0.041895
5, 0.003063, 0.041073
5, 0.002172, 0.040528
5, 0.004195, 0.040766
5, 0.002185, 0.039587
5, 0.002146, 0.039732
5, 0.002586, 0.039662
5, 0.003665, 0.039840
5, 0.003069, 0.038348
5, 0.002547, 0.040056
5, 0.004004, 0.042219
5, 0.002639, 0.042543
5, 0.002100, 0.039687
5, 0.003324, 0.042541
5, 0.003065, 0.042139
5, 0.003047, 0.039749
5, 0.003566, 0.042528
5, 0.004380, 0.041511
5, 0.003119, 0.041126
5, 0.002060, 0.041666
5, 0.002041, 0.039491
5, 0.003036, 0.039282
5, 0.004736, 0.039205
5, 0.004293, 0.038287
5, 0.003347, 0.041453
5, 0.002535, 0.039227
5, 0.003100, 0.039385
5, 0.003226, 0.041200
5, 0.003088, 0.038550
5, 0.003077, 0.038425
5, 0.004071, 0.037756
5, 0.003014, 0.040960
5, 0.002540, 0.044151
5, 0.003504, 0.044183
5, 0.003820, 0.044541
5, 0.003098, 0.043220
5, 0.003012, 0.040612
5, 0.003599, 0.039150
5, 0.003076, 0.038128
5, 0.003693, 0.040368
5, 0.003217, 0.038772
5, 0.004001, 0.040194
5, 0.003387, 0.039575
5, 0.003168, 0.041810
