#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.001034, 0.044753
5, 0.001011, 0.060131
5, 0.001221, 0.045067
5, 0.001001, 0.042512
5, 0.001001, 0.040680
5, 0.002090, 0.042232
5, 0.001040, 0.039599
5, 0.000986, 0.038937
5, 0.001027, 0.038345
5, 0.000000, 0.040239
5, 0.000987, 0.041161
5, 0.001032, 0.037284
5, 0.001035, 0.040859
5, 0.002000, 0.038994
5, 0.000000, 0.039707
5, 0.001041, 0.043929
5, 0.001188, 0.038331
5, 0.001999, 0.038468
5, 0.001067, 0.039777
5, 0.001022, 0.037751
5, 0.000999, 0.042526
5, 0.000000, 0.037476
5, 0.001285, 0.039317
5, 0.001081, 0.111237
5, 0.001039, 0.041319
5, 0.001052, 0.043852
5, 0.001015, 0.038546
5, 0.001036, 0.038564
5, 0.001087, 0.040167
5, 0.001057, 0.041103
5, 0.000000, 0.041903
5, 0.002091, 0.038717
5, 0.002044, 0.041400
5, 0.002074, 0.046570
5, 0.001352, 0.041527
5, 0.001048, 0.039719
5, 0.001099, 0.043642
5, 0.001142, 0.042882
5, 0.000000, 0.040863
5, 0.001031, 0.045677
5, 0.001302, 0.042475
5, 0.000000, 0.044050
5, 0.002027, 0.041657
5, 0.002127, 0.043715
5, 0.001033, 0.042229
5, 0.001051, 0.046055
5, 0.001056, 0.040379
5, 0.001014, 0.041879
5, 0.001436, 0.045970
5, 0.001012, 0.040396
5, 0.001019, 0.039731
5, 0.001036, 0.041219
5, 0.002089, 0.042024
5, 0.002093, 0.038960
5, 0.001048, 0.042933
5, 0.001020, 0.038391
5, 0.001111, 0.042927
5, 0.001442, 0.041616
5, 0.001213, 0.038792
5, 0.001057, 0.041195
5, 0.001014, 0.044464
5, 0.001329, 0.038847
5, 0.002066, 0.043695
5, 0.002012, 0.043239
5, 0.000000, 0.037724
5, 0.001029, 0.045715
5, 0.000000, 0.041124
5, 0.000000, 0.037528
5, 0.002048, 0.040319
5, 0.000000, 0.041459
5, 0.001000, 0.041821
5, 0.002061, 0.043162
5, 0.000000, 0.039157
5, 0.001013, 0.043076
5, 0.000000, 0.036920
5, 0.002078, 0.040804
5, 0.000000, 0.045394
5, 0.002162, 0.038998
5, 0.002078, 0.037343
5, 0.002183, 0.042506
5, 0.001021, 0.038244
5, 0.001046, 0.040592
5, 0.002081, 0.043124
5, 0.001020, 0.095402
5, 0.001020, 0.039176
5, 0.000000, 0.060636
5, 0.002035, 0.040805
5, 0.002282, 0.035482
5, 0.001040, 0.043155
5, 0.001028, 0.039633
5, 0.001026, 0.042360
5, 0.000000, 0.040362
5, 0.001028, 0.039222
5, 0.001014, 0.041191
5, 0.001039, 0.037951
5, 0.002081, 0.039016
5, 0.001024, 0.037505
5, 0.000000, 0.037579
5, 0.002048, 0.037698
5, 0.001033, 0.042311
