#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.005014, 0.050024
5, 0.004537, 0.050588
5, 0.003054, 0.044588
5, 0.004817, 0.048237
5, 0.003255, 0.053010
5, 0.003069, 0.059183
5, 0.005171, 0.057475
5, 0.003393, 0.053242
5, 0.003325, 0.048541
5, 0.003254, 0.051047
5, 0.003764, 0.049201
5, 0.004079, 0.050780
5, 0.003093, 0.106339
5, 0.003335, 0.049989
5, 0.004071, 0.047174
5, 0.004592, 0.041846
5, 0.004046, 0.037762
5, 0.003586, 0.039520
5, 0.004004, 0.041269
5, 0.002006, 0.039003
5, 0.002661, 0.040936
5, 0.003139, 0.041222
5, 0.002122, 0.039870
5, 0.003143, 0.039822
5, 0.003034, 0.042145
5, 0.002757, 0.039561
5, 0.004099, 0.041577
5, 0.003635, 0.039381
5, 0.003345, 0.039090
5, 0.003157, 0.080604
5, 0.004887, 0.052356
5, 0.003566, 0.045496
5, 0.003052, 0.043497
5, 0.003068, 0.039732
5, 0.002750, 0.042324
5, 0.003003, 0.040242
5, 0.003999, 0.038247
5, 0.003531, 0.040028
5, 0.002996, 0.039636
5, 0.004564, 0.059750
5, 0.004349, 0.046156
5, 0.003004, 0.042783
5, 0.004228, 0.040417
5, 0.003007, 0.041131
5, 0.003005, 0.040200
5, 0.002512, 0.042850
5, 0.003109, 0.039832
5, 0.002999, 0.037520
5, 0.002572, 0.040333
5, 0.003989, 0.039248
5, 0.002518, 0.038601
5, 0.003000, 0.038193
5, 0.003006, 0.038511
5, 0.003540, 0.040466
5, 0.002078, 0.039900
5, 0.003214, 0.041404
5, 0.002578, 0.039206
5, 0.002191, 0.039063
5, 0.002070, 0.040445
5, 0.003565, 0.041502
5, 0.003140, 0.038486
5, 0.003565, 0.037710
5, 0.003637, 0.040346
5, 0.003138, 0.039928
5, 0.028950, 0.037746
5, 0.004402, 0.038820
5, 0.002996, 0.039520
5, 0.002108, 0.040501
5, 0.002001, 0.040663
5, 0.003550, 0.040657
5, 0.003080, 0.038569
5, 0.003983, 0.038364
5, 0.002107, 0.040065
5, 0.002591, 0.038535
5, 0.002560, 0.037792
5, 0.002177, 0.037536
5, 0.003136, 0.037817
5, 0.003217, 0.040324
5, 0.003104, 0.038851
5, 0.002571, 0.039132
5, 0.003765, 0.039647
5, 0.002101, 0.039061
5, 0.002044, 0.042368
5, 0.002110, 0.038791
5, 0.003000, 0.039686
5, 0.004005, 0.038223
5, 0.002564, 0.037834
5, 0.002113, 0.040677
5, 0.003094, 0.038810
5, 0.002994, 0.038159
5, 0.002994, 0.038450
5, 0.003001, 0.039464
5, 0.002560, 0.038037
5, 0.003478, 0.038837
5, 0.003173, 0.039827
5, 0.003146, 0.038172
5, 0.002018, 0.040861
5, 0.002262, 0.040402
5, 0.004174, 0.036905
5, 0.003442, 0.039555
