nodes,algorithm,runtime,total_run_runtime,success_rate,avg_depth,median_stretch
10,Beacon Nodes,9.928895,70.3277975,0.9942500000000001,3.1625,1.0
10,Global Controller,10.68172375,73.55953500000001,0.9914999999999999,3.1625,1.0
10,PrioList,9.29845625,68.86765125000001,0.994125,3.1625,1.0
10,Simple Decomposition,9.7150975,68.71566125000001,0.99375,3.1625,1.0
10,Super Trees,10.65775,63.5936325,0.928375,4.247875,1.0
24,Beacon Nodes,43.224345,176.64087125,0.9977499999999999,5.26875,0.0
24,Global Controller,46.79431375,169.07048625,0.9956250000000001,5.26875,0.0
24,PrioList,42.94634,162.36638375,0.99925,5.26875,0.0
24,Simple Decomposition,42.241916249999996,158.5490025,0.99925,5.26875,0.0
24,Super Trees,44.23868,159.39263,0.9785,7.7625,1.0
50,Beacon Nodes,151.07864875,378.92518624999997,0.999375,8.09375,0.5
50,Global Controller,156.25772625,382.05475125,0.995125,8.09375,1.0
50,PrioList,155.50935875,377.42693625000004,0.999625,8.09375,0.0
50,Simple Decomposition,148.78953875,360.4110375,0.999875,8.09375,0.0
50,Super Trees,162.02261375,382.68970875,0.99925,12.06875,1.0
80,Beacon Nodes,336.75646375,678.22386375,0.99975,10.675,1.0
80,Global Controller,359.0969025,686.2941050000001,0.9956250000000001,10.675,1.0
80,PrioList,350.3700275,671.53340875,0.999375,10.675,0.0
80,Simple Decomposition,345.02392,673.17179,0.999625,10.675,0.0
80,Super Trees,352.20113375,676.7536675,0.99975,14.86875,1.0
100,Beacon Nodes,507.00032875,922.7075662499999,0.999625,11.78125,1.0
100,Global Controller,517.797285,905.7712287500001,0.9967499999999999,11.78125,1.0
100,PrioList,521.582905,918.054915,0.999875,11.78125,0.0
100,Simple Decomposition,506.51527125,890.08667375,0.999875,11.78125,0.0
100,Super Trees,538.81951,923.5330299999999,1.0,16.73125,1.0
