nodes,algorithm,avg_depth_mean,avg_depth_std
10,Beacon Nodes,3.039625,0.32707156244776975
10,Global Controller,3.039625,0.32707156244776975
10,PrioList,3.039625,0.32707156244776975
10,Simple Decomposition,3.039625,0.32707156244776975
10,Super Trees,4.497875,1.4728278954085812
24,Beacon Nodes,5.20625,0.7492348417560851
24,Global Controller,5.20625,0.7492348417560851
24,PrioList,5.20625,0.7492348417560851
24,Simple Decomposition,5.20625,0.7492348417560851
24,Super Trees,8.25,2.767350329846452
50,Beacon Nodes,8.15625,1.4421190236873698
50,Global Controller,8.15625,1.4421190236873698
50,PrioList,8.15625,1.4421190236873698
50,Simple Decomposition,8.15625,1.4421190236873698
50,Super Trees,11.6125,4.415862517351723
80,Beacon Nodes,9.94375,1.6245617714839558
80,Global Controller,9.94375,1.6245617714839558
80,PrioList,9.94375,1.6245617714839558
80,Simple Decomposition,9.94375,1.6245617714839558
80,Super Trees,14.9125,4.318619534474449
100,Beacon Nodes,11.7375,1.9225098969309542
100,Global Controller,11.7375,1.9225098969309542
100,PrioList,11.7375,1.9225098969309542
100,Simple Decomposition,11.7375,1.9225098969309542
100,Super Trees,16.08125,4.4781069053447355
