nodes,algorithm,runtime_mean,runtime_std
10,Beacon Nodes,6.6261425,3.806974790916959
10,Global Controller,6.4692775,1.8964061069626714
10,PrioList,5.96809125,1.6595215750401482
10,Simple Decomposition,5.8299375,1.2537209326867609
10,Super Trees,7.15602125,3.0818864499365017
24,Beacon Nodes,28.480085000000003,9.762219300544528
24,Global Controller,27.86858125,4.226182926815853
24,PrioList,27.8398925,8.186320040965144
24,Simple Decomposition,28.56266,8.186918136504284
24,Super Trees,31.858095,12.683027578048717
50,Beacon Nodes,101.107375,13.37150015632151
50,Global Controller,105.0488,13.18931859534905
50,PrioList,104.52718374999999,18.03722957962116
50,Simple Decomposition,103.536505,14.034194540459682
50,Super Trees,105.9686725,16.91208515209285
80,Beacon Nodes,242.96292,27.77990500796383
80,Global Controller,250.56035375000002,25.444571043417692
80,PrioList,243.77112874999997,33.24156164678124
80,Simple Decomposition,236.35498124999998,22.730639979468826
80,Super Trees,253.20054249999998,27.658216316175345
100,Beacon Nodes,409.80755375,60.05076944769096
100,Global Controller,420.93791,52.94978589410006
100,PrioList,403.578075,48.820157541286946
100,Simple Decomposition,408.73111374999996,45.8356086223854
100,Super Trees,409.64008875,46.26875500203379
