nodes,algorithm,static_stretch_mean,static_stretch_std
10,Beacon Nodes,0.0125,0.1118033988749895
10,Global Controller,0.0125,0.1118033988749895
10,PrioList,0.0125,0.1118033988749895
10,Simple Decomposition,0.0125,0.1118033988749895
10,Super Trees,0.09375,0.2986652798151948
24,Beacon Nodes,0.0,0.0
24,Global Controller,0.0,0.0
24,PrioList,0.0,0.0
24,Simple Decomposition,0.0,0.0
24,Super Trees,0.05625,0.22492966551875665
50,Beacon Nodes,0.0,0.0
50,Global Controller,0.0,0.0
50,PrioList,0.0,0.0
50,Simple Decomposition,0.0,0.0
50,Super Trees,0.03125,0.1658073840563048
80,Beacon Nodes,0.0,0.0
80,Global Controller,0.0,0.0
80,PrioList,0.0,0.0
80,Simple Decomposition,0.0,0.0
80,Super Trees,0.0,0.0
100,Beacon Nodes,0.0,0.0
100,Global Controller,0.0,0.0
100,PrioList,0.0,0.0
100,Simple Decomposition,0.0,0.0
100,Super Trees,0.0,0.0
200,Beacon Nodes,0.0,0.0
200,Global Controller,0.0,0.0
200,PrioList,0.0,0.0
200,Simple Decomposition,0.0,0.0
200,Super Trees,0.0,0.0
500,Beacon Nodes,0.0,0.0
500,Global Controller,0.0,0.0
500,PrioList,0.0,0.0
500,Simple Decomposition,0.0,0.0
500,Super Trees,0.0,0.0
1000,Beacon Nodes,0.0,0.0
1000,Global Controller,0.0,0.0
1000,PrioList,0.0,0.0
1000,Simple Decomposition,0.0,0.0
1000,Super Trees,0.0,0.0
