nodes,algorithm,total_run_runtime_mean,total_run_runtime_std
10,Beacon Nodes,44.953955,7.968441497699106
10,Global Controller,43.81963125,5.055504572886809
10,PrioList,40.078365000000005,4.654373287350296
10,Simple Decomposition,41.08966625,5.336556898352426
10,Super Trees,40.12211375,7.7809478101474845
24,Beacon Nodes,110.12731249999999,19.506861411940456
24,Global Controller,108.95742125,14.703444535104163
24,PrioList,104.01266749999999,14.745112899351655
24,Simple Decomposition,104.501065,12.640724993369641
24,Super Trees,106.84401875,19.45863919336975
50,Beacon Nodes,260.63073625000004,24.005121691059873
50,Global Controller,255.2127325,21.551036285376483
50,PrioList,252.97546625,27.283751977525476
50,Simple Decomposition,249.5694125,23.475077522274635
50,Super Trees,245.95216375,28.704399082230594
80,Beacon Nodes,489.9264575,39.94515872515615
80,Global Controller,481.90226624999997,34.8005495958345
80,PrioList,467.3891112499999,41.80870460572606
80,Simple Decomposition,465.60555125,37.536984606054716
80,Super Trees,479.455735,37.234438382008264
100,Beacon Nodes,736.2206287500001,83.82723039029077
100,Global Controller,742.21078875,84.15322618689093
100,PrioList,714.466045,69.02074235808384
100,Simple Decomposition,720.6506425,66.78568232761425
100,Super Trees,721.63115375,70.30728150338838
