run,graph,nodes,algorithm,runtime,total_run_runtime,median_stretch,success_rate,avg_depth,errors
0,rrg_n10_g0,10,PrioList,7.1553,54.1185,1.0,0.95,3.0,0
0,rrg_n10_g0,10,Super Trees,11.0548,39.4354,0.0,0.45,2.5,0
0,rrg_n10_g0,10,Beacon Nodes,5.8079,62.4345,0.0,0.97,3.0,0
0,rrg_n10_g0,10,Global Controller,8.3856,59.4007,0.0,0.92,3.0,0
0,rrg_n10_g0,10,Simple Decomposition,6.8565,56.1802,1.0,0.88,3.0,0
0,rrg_n10_g1,10,PrioList,12.482,67.3602,0.0,1.0,3.5,1
0,rrg_n10_g1,10,Super Trees,10.366,75.6942,0.0,1.0,9.0,1
0,rrg_n10_g1,10,Beacon Nodes,9.7764,64.0266,0.0,1.0,3.5,1
0,rrg_n10_g1,10,Global Controller,6.6442,67.5366,0.0,0.98,3.5,1
0,rrg_n10_g1,10,Simple Decomposition,6.0418,59.7861,0.0,0.98,3.5,1
0,rrg_n10_g2,10,PrioList,13.1011,63.4665,0.0,1.0,2.5,1
0,rrg_n10_g2,10,Super Trees,7.4207,55.6557,0.0,1.0,7.0,1
0,rrg_n10_g2,10,Beacon Nodes,7.1166,61.1617,0.0,1.0,2.5,1
0,rrg_n10_g2,10,Global Controller,7.932,68.4496,0.0,1.0,2.5,1
0,rrg_n10_g2,10,Simple Decomposition,8.4503,55.3502,0.0,1.0,2.5,1
0,rrg_n10_g3,10,PrioList,9.7961,58.5541,0.0,1.0,3.0,1
0,rrg_n10_g3,10,Super Trees,16.659,86.8215,0.0,1.0,4.5,1
0,rrg_n10_g3,10,Beacon Nodes,11.7917,70.2672,0.0,1.0,3.0,1
0,rrg_n10_g3,10,Global Controller,13.121,70.5096,0.0,0.99,3.0,1
0,rrg_n10_g3,10,Simple Decomposition,8.1161,57.7515,0.0,1.0,3.0,1
0,rrg_n10_g4,10,PrioList,9.7706,129.1331,0.0,1.0,3.0,1
0,rrg_n10_g4,10,Super Trees,9.3787,60.5065,0.0,1.0,3.0,1
0,rrg_n10_g4,10,Beacon Nodes,9.6917,67.4853,0.0,1.0,3.0,1
0,rrg_n10_g4,10,Global Controller,9.5419,64.9313,0.0,1.0,3.0,1
0,rrg_n10_g4,10,Simple Decomposition,9.1188,68.3671,0.0,1.0,3.0,1
0,rrg_n10_g5,10,PrioList,21.5203,82.4202,0.0,1.0,3.0,1
0,rrg_n10_g5,10,Super Trees,9.5336,69.2202,0.0,1.0,3.0,1
0,rrg_n10_g5,10,Beacon Nodes,11.4004,76.6519,0.0,1.0,3.0,1
0,rrg_n10_g5,10,Global Controller,9.1811,76.616,0.0,1.0,3.0,1
0,rrg_n10_g5,10,Simple Decomposition,23.21,96.6658,0.0,1.0,3.0,1
0,rrg_n10_g6,10,PrioList,10.0077,80.0932,0.0,1.0,3.0,1
0,rrg_n10_g6,10,Super Trees,11.2242,104.3492,0.0,1.0,4.0,1
0,rrg_n10_g6,10,Beacon Nodes,10.7908,78.2864,0.0,1.0,3.0,1
0,rrg_n10_g6,10,Global Controller,11.9498,68.1894,0.0,0.99,3.0,1
0,rrg_n10_g6,10,Simple Decomposition,11.4326,74.8072,0.0,1.0,3.0,1
0,rrg_n10_g7,10,PrioList,7.7197,60.2687,0.0,1.0,3.67,0
