nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
10,Beacon Nodes,7.11660175,49.1922585,0.9269,0.01125,3.09045
10,Global Controller,7.10299975,49.395087000000004,0.9119750000000001,0.00125,3.09045
10,PrioList,7.01656925,46.93289675,0.9495999999999999,0.0,3.09045
10,Simple Decomposition,7.055894500000001,46.63967525,0.948875,0.00125,3.09045
10,Super Trees,6.840591,42.777536,0.869425,0.14375,4.41835
24,Beacon Nodes,30.159844250000003,115.64772775,0.930625,0.08,5.3325
24,Global Controller,31.577698249999997,114.61036725,0.883075,0.07375,5.3325
24,PrioList,30.55409175,110.44226474999999,0.95015,0.05875,5.3325
24,Simple Decomposition,29.549884000000002,109.15974700000001,0.95005,0.03875,5.3325
24,Super Trees,31.40686475,108.33233399999999,0.9081,0.405,8.1925
50,Beacon Nodes,109.39383074999999,279.05444,0.95015,0.62125,7.985
50,Global Controller,114.180847,277.9888115,0.8820749999999999,0.53,7.985
50,PrioList,111.04184675,269.9298895,0.961275,0.57,7.985
50,Simple Decomposition,110.68378425,269.37516475,0.96155,0.555,7.985
50,Super Trees,112.57748224999999,270.78180075,0.9376000000000001,0.9475,12.50875
80,Beacon Nodes,263.1140505,536.7636729999999,0.959075,1.04375,10.2475
80,Global Controller,269.68581775,529.9105555,0.8883249999999999,1.04875,10.2475
80,PrioList,262.3958885,520.10444525,0.96505,1.0175,10.2475
80,Simple Decomposition,263.957606,520.650881,0.965275,0.9975,10.2475
80,Super Trees,266.49298600000003,523.432046,0.946325,1.39875,15.1125
100,Beacon Nodes,391.41797599999995,732.92145225,0.9634999999999999,1.32125,11.56125
100,Global Controller,402.99323725,720.8035145,0.8941500000000001,1.31875,11.56125
100,PrioList,391.91144549999996,708.82904975,0.966225,1.17375,11.56125
100,Simple Decomposition,389.24823499999997,707.7924830000001,0.9669749999999999,1.16875,11.56125
100,Super Trees,397.95421525,717.7982335,0.9489,1.545,16.58125
200,Beacon Nodes,1553.0226042499999,2300.490842,0.964825,2.02375,16.65375
200,Global Controller,1586.700167,2261.8269995,0.90095,2.30875,16.65375
200,PrioList,1551.3975335000002,2257.33508175,0.96815,1.8725,16.65375
200,Simple Decomposition,1551.3383015,2257.6078165,0.96735,1.91125,16.65375
200,Super Trees,1585.077492,2298.946754,0.956425,2.14625,22.325
500,Beacon Nodes,10573.23328475,13026.1434035,0.9682999999999999,2.87,26.45375
500,Global Controller,10742.52274825,12813.817239999998,0.9053749999999999,3.6525,26.45375
500,PrioList,10608.287485249999,12998.570540249999,0.968275,2.7925,26.45375
500,Simple Decomposition,10621.613684749998,13024.569767750001,0.969175,2.805,26.45375
500,Super Trees,10864.777853000001,13222.1317695,0.965675,2.79625,32.595
1000,Beacon Nodes,49356.6627615,56122.648593,0.967525,3.525,37.11
1000,Global Controller,49936.201291749996,55274.5807585,0.911775,4.6575,37.11
1000,PrioList,49270.048391749995,55997.437938999996,0.96845,3.445,37.11
1000,Simple Decomposition,49393.80151925,56186.303049250004,0.9671249999999999,3.42625,37.11
1000,Super Trees,50571.138542,57308.91549575,0.9699249999999999,3.43,46.3575
