nodes,algorithm,avg_depth_mean,avg_depth_std
10,Beacon Nodes,3.09045,0.4003967925429684
10,Global Controller,3.09045,0.4003967925429684
10,PrioList,3.09045,0.4003967925429684
10,Simple Decomposition,3.09045,0.4003967925429684
10,Super Trees,4.41835,1.3696090134137031
24,Beacon Nodes,5.3325,0.8388700778540128
24,Global Controller,5.3325,0.8388700778540128
24,PrioList,5.3325,0.8388700778540128
24,Simple Decomposition,5.3325,0.8388700778540128
24,Super Trees,8.1925,2.8145154989330465
50,Beacon Nodes,7.985,1.2718368300634186
50,Global Controller,7.985,1.2718368300634186
50,PrioList,7.985,1.2718368300634186
50,Simple Decomposition,7.985,1.2718368300634186
50,Super Trees,12.50875,4.156017280593463
80,Beacon Nodes,10.2475,1.886170152613896
80,Global Controller,10.2475,1.886170152613896
80,PrioList,10.2475,1.886170152613896
80,Simple Decomposition,10.2475,1.886170152613896
80,Super Trees,15.1125,4.645837196689671
100,Beacon Nodes,11.56125,2.22553498116317
100,Global Controller,11.56125,2.22553498116317
100,PrioList,11.56125,2.22553498116317
100,Simple Decomposition,11.56125,2.22553498116317
100,Super Trees,16.58125,4.816328059574391
200,Beacon Nodes,16.65375,3.4587777894788916
200,Global Controller,16.65375,3.4587777894788916
200,PrioList,16.65375,3.4587777894788916
200,Simple Decomposition,16.65375,3.4587777894788916
200,Super Trees,22.325,5.485512932290452
500,Beacon Nodes,26.45375,5.472394694897459
500,Global Controller,26.45375,5.472394694897459
500,PrioList,26.45375,5.472394694897459
500,Simple Decomposition,26.45375,5.472394694897459
500,Super Trees,32.595,6.605873819738443
1000,Beacon Nodes,37.11,8.138010693352077
1000,Global Controller,37.11,8.138010693352077
1000,PrioList,37.11,8.138010693352077
1000,Simple Decomposition,37.11,8.138010693352077
1000,Super Trees,46.3575,10.141094528975366
