nodes,algorithm,median_stretch_mean,median_stretch_std
10,Beacon Nodes,0.01125,0.10259020115699931
10,Global Controller,0.00125,0.025
10,PrioList,0.0,0.0
10,Simple Decomposition,0.00125,0.025
10,Super Trees,0.14375,0.3485896216337729
24,Beacon Nodes,0.08,0.2669797660661231
24,Global Controller,0.07375,0.25807449236416724
24,PrioList,0.05875,0.22870111061161785
24,Simple Decomposition,0.03875,0.18495664329715053
24,Super Trees,0.405,0.5366049404873089
50,Beacon Nodes,0.62125,0.5283192601084157
50,Global Controller,0.53,0.5242012661359627
50,PrioList,0.57,0.4982173736216413
50,Simple Decomposition,0.555,0.5025997575514007
50,Super Trees,0.9475,0.7355926122712699
80,Beacon Nodes,1.04375,0.5018371636767426
80,Global Controller,1.04875,0.5513696207142869
80,PrioList,1.0175,0.41397123142934417
80,Simple Decomposition,0.9975,0.4722831549463892
80,Super Trees,1.39875,0.7503539265157438
100,Beacon Nodes,1.32125,0.5141344893925686
100,Global Controller,1.31875,0.5978436082704862
100,PrioList,1.17375,0.5047999554154781
100,Simple Decomposition,1.16875,0.4927020659734809
100,Super Trees,1.545,0.7301079674337733
200,Beacon Nodes,2.02375,0.5653405720501715
200,Global Controller,2.30875,0.6403699099379082
200,PrioList,1.8725,0.576258565955503
200,Simple Decomposition,1.91125,0.5699214539383017
200,Super Trees,2.14625,0.6831197324937303
500,Beacon Nodes,2.87,0.5500968244688625
500,Global Controller,3.6525,0.7411930706096751
500,PrioList,2.7925,0.5865610664813851
500,Simple Decomposition,2.805,0.5444870663418313
500,Super Trees,2.79625,0.6010524916713691
1000,Beacon Nodes,3.525,0.5256574830378468
1000,Global Controller,4.6575,0.7519023492828995
1000,PrioList,3.445,0.560365974219221
1000,Simple Decomposition,3.42625,0.5587633476676345
1000,Super Trees,3.43,0.5642658858861992
