nodes,algorithm,success_rate_mean,success_rate_std
10,Beacon Nodes,0.9269,0.055970722744228305
10,Global Controller,0.9119750000000001,0.05765987363469435
10,PrioList,0.9495999999999999,0.04458485756183959
10,Simple Decomposition,0.948875,0.05049612878782286
10,Super Trees,0.869425,0.1883869514688033
24,Beacon Nodes,0.930625,0.041553291869151666
24,Global Controller,0.883075,0.052685232364232594
24,PrioList,0.95015,0.030187011099109227
24,Simple Decomposition,0.95005,0.03046831626032768
24,Super Trees,0.9081,0.11691262294341354
50,Beacon Nodes,0.95015,0.024596543963275447
50,Global Controller,0.8820749999999999,0.04578411118600788
50,PrioList,0.961275,0.02162854270747623
50,Simple Decomposition,0.96155,0.02088511359616728
50,Super Trees,0.9376000000000001,0.0394414638759986
80,Beacon Nodes,0.959075,0.0214953366744247
80,Global Controller,0.8883249999999999,0.03795452198814221
80,PrioList,0.96505,0.01811955561649755
80,Simple Decomposition,0.965275,0.018062114354010242
80,Super Trees,0.946325,0.03411236592164092
100,Beacon Nodes,0.9634999999999999,0.019291978932391055
100,Global Controller,0.8941500000000001,0.036353561773698126
100,PrioList,0.966225,0.01832590986639076
100,Simple Decomposition,0.9669749999999999,0.018328644877831122
100,Super Trees,0.9489,0.031508283511238126
200,Beacon Nodes,0.964825,0.017599537901201837
200,Global Controller,0.90095,0.032584534363701574
200,PrioList,0.96815,0.019052164244673497
200,Simple Decomposition,0.96735,0.017050051631934397
200,Super Trees,0.956425,0.02860095122592198
500,Beacon Nodes,0.9682999999999999,0.01686181490839622
500,Global Controller,0.9053749999999999,0.031189603289933972
500,PrioList,0.968275,0.018209980325597463
500,Simple Decomposition,0.969175,0.01805225983673601
500,Super Trees,0.965675,0.021845765463166522
1000,Beacon Nodes,0.967525,0.01862771737590495
1000,Global Controller,0.911775,0.03126568779161442
1000,PrioList,0.96845,0.016147735860905853
1000,Simple Decomposition,0.9671249999999999,0.01741385888317141
1000,Super Trees,0.9699249999999999,0.018236661277118146
