run,graph,nodes,algorithm,runtime,total_run_runtime,median_stretch,success_rate,avg_depth,errors
0,rrg_n10_g0,10,PrioList,8.1273,39.08,0.0,0.91,3.0,1
0,rrg_n10_g0,10,Super Trees,4.0168,31.9913,0.0,0.89,4.0,1
0,rrg_n10_g0,10,Beacon Nodes,5.1831,32.3451,0.0,0.95,3.0,1
0,rrg_n10_g0,10,Global Controller,4.8583,31.7783,0.0,0.93,3.0,1
0,rrg_n10_g0,10,Simple Decomposition,3.9977,32.8066,0.0,0.92,3.0,1
0,rrg_n10_g1,10,PrioList,4.9301,33.6657,0.0,0.97,3.0,1
0,rrg_n10_g1,10,Super Trees,5.1931,36.2516,0.0,0.99,4.0,1
0,rrg_n10_g1,10,Beacon Nodes,5.317,40.9588,0.0,0.92,3.0,1
0,rrg_n10_g1,10,Global Controller,5.3101,36.0406,0.0,0.99,3.0,1
0,rrg_n10_g1,10,Simple Decomposition,4.9857,32.0214,0.0,0.99,3.0,1
0,rrg_n10_g2,10,PrioList,4.994,33.8748,0.0,0.97,2.5,1
0,rrg_n10_g2,10,Super Trees,4.8409,34.935,0.0,0.92,7.0,1
0,rrg_n10_g2,10,Beacon Nodes,5.4078,42.8022,0.0,0.97,2.5,1
0,rrg_n10_g2,10,Global Controller,5.6665,36.071,0.0,0.95,2.5,1
0,rrg_n10_g2,10,Simple Decomposition,4.6937,33.0532,0.0,0.96,2.5,1
0,rrg_n10_g3,10,PrioList,5.5653,37.3499,0.0,0.98,3.0,1
0,rrg_n10_g3,10,Super Trees,6.3532,34.2909,0.0,0.98,3.5,1
0,rrg_n10_g3,10,Beacon Nodes,4.7216,36.7912,0.0,0.96,3.0,1
0,rrg_n10_g3,10,Global Controller,5.2598,37.3433,0.0,0.91,3.0,1
0,rrg_n10_g3,10,Simple Decomposition,6.8232,41.1182,0.0,0.93,3.0,1
0,rrg_n10_g4,10,PrioList,4.5991,34.779,0.0,0.96,3.67,0
0,rrg_n10_g4,10,Super Trees,5.3036,32.464,0.0,0.98,4.0,0
0,rrg_n10_g4,10,Beacon Nodes,5.3389,36.7337,0.0,0.95,3.67,0
0,rrg_n10_g4,10,Global Controller,4.8976,34.1136,0.0,0.97,3.67,0
0,rrg_n10_g4,10,Simple Decomposition,5.1069,35.6334,0.0,0.95,3.67,0
0,rrg_n10_g5,10,PrioList,5.2351,36.5539,0.0,0.97,2.5,1
0,rrg_n10_g5,10,Super Trees,4.9706,41.637,0.0,0.97,4.0,1
0,rrg_n10_g5,10,Beacon Nodes,5.9413,38.6238,0.0,0.96,2.5,1
0,rrg_n10_g5,10,Global Controller,5.7669,39.4695,0.0,0.86,2.5,1
0,rrg_n10_g5,10,Simple Decomposition,5.9917,35.6645,0.0,0.97,2.5,1
0,rrg_n10_g6,10,PrioList,4.9808,34.9565,0.0,1.0,3.5,1
0,rrg_n10_g6,10,Super Trees,4.958,33.4411,0.0,0.92,5.0,1
0,rrg_n10_g6,10,Beacon Nodes,5.8544,35.6051,0.0,0.91,3.5,1
0,rrg_n10_g6,10,Global Controller,6.6614,38.1341,0.0,0.87,3.5,1
0,rrg_n10_g6,10,Simple Decomposition,5.7436,33.6875,0.0,0.96,3.5,1
0,rrg_n10_g7,10,PrioList,5.3776,33.4818,0.0,0.96,3.0,1
0,rrg_n10_g7,10,Super Trees,4.8365,30.8335,0.0,0.9,7.0,1
